time,susc_not_ill,recovered,quarantene,hospitalized,intensive_care,deceased
2/24/2020,60316771,1,94,101,26,7
2/25/2020,60316678,1,162,114,35,10
2/26/2020,60316600,3,221,128,36,12
2/27/2020,60316350,45,284,248,56,17
2/28/2020,60316112,46,412,345,64,21
2/29/2020,60315872,50,543,401,105,29
3/1/2020,60315306,83,798,639,140,34
3/2/2020,60314964,149,927,742,166,52
3/3/2020,60314498,160,1000,1034,229,79
3/4/2020,60313911,276,1065,1346,295,107
3/5/2020,60313142,414,1155,1790,351,148
3/6/2020,60312364,523,1060,2394,462,197
3/7/2020,60311117,589,1843,2651,567,233
3/8/2020,60309625,622,2180,3557,650,366
3/9/2020,60307828,724,2936,4316,733,463
3/10/2020,60306851,1004,2599,5038,877,631
3/11/2020,60304538,1045,3724,5838,1028,827
3/12/2020,60301887,1258,5036,6650,1153,1016
3/13/2020,60299340,1439,6201,7426,1328,1266
3/14/2020,60295843,1966,7860,8372,1518,1441
3/15/2020,60292253,2335,9268,9663,1672,1809
3/16/2020,60289020,2749,10197,11025,1851,2158
3/17/2020,60285494,2941,11108,12894,2060,2503
3/18/2020,60281287,4025,12090,14363,2257,2978
3/19/2020,60275965,4440,14935,15757,2498,3405
3/20/2020,60269979,5129,19185,16020,2655,4032
3/21/2020,60263422,6072,22116,17708,2857,4825
3/22/2020,60257862,7024,23783,19846,3009,5476
3/23/2020,60253073,7432,26522,20692,3204,6077
3/24/2020,60247824,8326,28697,21937,3396,6820
3/25/2020,60242614,9362,30920,23112,3489,7503
3/26/2020,60236461,10361,33648,24753,3612,8165
3/27/2020,60230502,10950,36653,26029,3732,9134
3/28/2020,60224528,12384,39533,26676,3856,10023
3/29/2020,60219311,13030,42588,27386,3906,10779
3/30/2020,60215261,14620,43752,27795,3981,11591
3/31/2020,60211208,15729,45420,28192,4023,12428
4/1/2020,60206426,16847,48134,28403,4035,13155
4/2/2020,60201758,18278,50456,28540,4053,13915
4/3/2020,60197173,19758,52579,28741,4068,14681
4/4/2020,60192368,20996,55270,29010,3994,15362
4/5/2020,60188052,21815,58320,28949,3977,15887
4/6/2020,60184453,22837,60313,28976,3898,16523
4/7/2020,60181414,24392,61557,28718,3792,17127
4/8/2020,60177578,26491,63084,28485,3693,17669
4/9/2020,60173374,28470,64873,28399,3605,18279
4/10/2020,60169423,30455,66534,28242,3497,18849
4/11/2020,60164729,32534,68744,28144,3381,19468
4/12/2020,60160637,34211,71063,27847,3343,19899
4/13/2020,60157484,35435,72333,28023,3260,20465
4/14/2020,60154512,37130,73094,28011,3186,21067
4/15/2020,60151845,38092,74696,27643,3079,21645
4/16/2020,60148059,40164,76778,26893,2936,22170
4/17/2020,60144566,42727,78364,25786,2812,22745
4/18/2020,60141075,44927,80031,25007,2733,23227
4/19/2020,60138028,47055,80589,25033,2635,23660
4/20/2020,60135772,48877,80758,24906,2573,24114
4/21/2020,60133043,51600,81104,24134,2471,24648
4/22/2020,60129673,54543,81510,23805,2384,25085
4/23/2020,60127027,57576,81710,22871,2267,25549
4/24/2020,60124006,60498,82286,22068,2173,25969
4/25/2020,60121649,63120,82212,21533,2102,26384
4/26/2020,60119325,64928,82722,21372,2009,26644
4/27/2020,60117586,66624,83504,20353,1956,26977
4/28/2020,60115495,68941,83619,19723,1863,27359
4/29/2020,60113409,71252,83652,19210,1795,27682
4/30/2020,60111537,75945,81708,18149,1694,27967
5/1/2020,60109572,78249,81796,17569,1578,28236
5/2/2020,60107672,79914,81808,17357,1539,28710
5/3/2020,60106283,81654,81436,17242,1501,28884
5/4/2020,60105062,82879,81678,16823,1479,29079
5/5/2020,60103987,85231,80770,16270,1427,29315
5/6/2020,60102543,93245,74426,15769,1333,29684
5/7/2020,60101142,96276,73139,15174,1311,29958
5/8/2020,60099815,99023,72157,14636,1168,30201
5/9/2020,60098732,103031,69974,13834,1034,30395
5/10/2020,60097930,105186,68679,13618,1027,30560
5/11/2020,60097186,106587,67950,13539,999,30739
5/12/2020,60095784,109039,67449,12865,952,30911
5/13/2020,60094896,112541,65392,12172,893,31106
5/14/2020,60093904,115288,64132,11453,855,31368
5/15/2020,60093115,120205,60470,10792,808,31610
5/16/2020,60092240,122810,59012,10400,775,31763
5/17/2020,60091565,125176,57278,10311,762,31908
5/18/2020,60091114,127326,55597,10207,749,32007
5/19/2020,60090301,129401,54422,9991,716,32169
5/20/2020,60089636,132282,52452,9624,676,32330
5/21/2020,60088994,134560,51051,9269,640,32486
5/22/2020,60088342,136720,49770,8957,595,32616
5/23/2020,60087673,138840,48485,8695,572,32735
5/24/2020,60087142,140479,47428,8613,553,32785
5/25/2020,60086842,141981,46574,8185,541,32877
5/26/2020,60086445,144658,44504,7917,521,32955
5/27/2020,60085861,147101,42732,7729,505,33072
5/28/2020,60085268,150604,40118,7379,489,33142
